municipio_6,ano,populacao,nome_municipio,qtd_internacoes_uti,qtd_internacoes_icsap_uti,soma_val_tot,soma_dias_perm,qtd_estabelecimentos_media,qtd_leitos_existentes_media,qtd_leitos_sus_media,siops_dotacao_atualizada,siops_despesa_empenhada,siops_despesa_liquidada,siops_despesa_paga
350880,2022,16654,Cafelândia - SP,127,25,851017.64,1400,55.416666666666664,48.0,37.0,,,,
350890,2022,3712,Caiabu - SP,22,6,156799.11,252,5.0,,,,,,
350900,2022,95032,Caieiras - SP,354,55,2781304.99,5010,89.66666666666667,170.25,87.25,,,,
350910,2022,5466,Caiuá - SP,24,10,216742.47,246,6.0,,,,,,
350920,2022,92689,Cajamar - SP,250,25,2428497.95,4386,101.33333333333333,150.33333333333334,39.0,,,,
350925,2022,28515,Cajati - SP,115,19,1012542.99,1736,40.5,,,,,,
350930,2022,9133,Cajobi - SP,42,8,313199.41,383,11.0,32.0,21.0,,,,
350940,2022,23830,Cajuru - SP,177,22,1914871.44,1785,78.75,143.83333333333334,56.333333333333336,,,,
350945,2022,5954,Campina do Monte Alegre - SP,14,3,102720.0,209,5.333333333333333,,,,,,
350950,2022,1139047,Campinas - SP,6577,1187,57731952.98,94710,2430.3333333333335,3510.25,1699.5,,,,
350960,2022,77632,Campo Limpo Paulista - SP,715,200,3793712.35,5920,40.166666666666664,72.66666666666667,64.33333333333333,,,,
350970,2022,46974,Campos do Jordão - SP,201,33,1726010.58,2575,88.0,197.91666666666666,185.0,,,,
350980,2022,4888,Campos Novos Paulista - SP,42,3,419717.6,584,4.333333333333333,,,,,,
350990,2022,12289,Cananéia - SP,74,8,564147.49,890,9.0,,,,,,
350995,2022,4931,Canas - SP,45,15,247351.42,408,3.75,,,,,,
351000,2022,29449,Cândido Mota - SP,167,27,1485120.3900000001,1872,83.58333333333333,30.0,25.0,,,,
351010,2022,2889,Cândido Rodrigues - SP,20,7,211296.12999999998,283,2.0,,,,,,
351015,2022,6283,Canitar - SP,55,16,362936.82,476,3.0,,,,,,
351020,2022,46337,Capão Bonito - SP,222,25,1617310.51,2428,54.083333333333336,63.0,54.166666666666664,,,,
351030,2022,22866,Capela do Alto - SP,114,27,847145.47,1604,18.583333333333332,59.0,14.0,,,,
351040,2022,50068,Capivari - SP,333,81,2353348.61,3414,140.66666666666666,134.0,68.0,,,,
351050,2022,134873,Caraguatatuba - SP,1141,238,7789669.07,14625,240.66666666666666,447.6666666666667,368.0,,,,
351060,2022,386984,Carapicuíba - SP,2232,413,16473520.35,32182,129.75,332.0,275.0,,,,
351070,2022,11345,Cardoso - SP,113,9,1019507.66,1194,20.833333333333332,31.0,10.5,,,,
351080,2022,28083,Casa Branca - SP,120,20,928468.1,1197,89.25,409.3333333333333,396.3333333333333,,,,
351090,2022,2799,Cássia dos Coqueiros - SP,18,3,137479.19,145,5.0,,,,,,
351100,2022,19977,Castilho - SP,164,48,927139.52,1395,35.25,31.0,30.0,,,,
351110,2022,115791,Catanduva - SP,791,139,7586486.92,9178,586.0833333333334,674.0833333333334,422.6666666666667,,,,
351120,2022,7003,Catiguá - SP,53,15,435170.59,678,14.5,,,,,,
351130,2022,12618,Cedral - SP,96,22,1051044.1,1108,18.0,55.333333333333336,0.0,,,,
351140,2022,21469,Cerqueira César - SP,79,8,879275.65,1124,32.5,41.0,34.0,,,,
351150,2022,44695,Cerquilho - SP,107,9,887592.87,1372,138.08333333333334,40.0,27.0,,,,
351160,2022,19048,Cesário Lange - SP,83,8,751934.97,1254,20.083333333333332,27.0,23.0,,,,
351170,2022,15535,Charqueada - SP,91,19,746920.26,972,24.0,33.0,26.0,,,,
351190,2022,6982,Clementina - SP,48,7,418464.83,490,11.0,24.0,21.0,,,,
351200,2022,18486,Colina - SP,193,50,1049914.07,1625,44.416666666666664,67.0,52.666666666666664,,,,
351210,2022,6629,Colômbia - SP,44,7,317174.01,382,11.5,20.0,20.0,,,,
351220,2022,28101,Conchal - SP,123,14,1196427.64,1589,43.083333333333336,52.0,38.333333333333336,,,,
351230,2022,15232,Conchas - SP,97,4,1181563.3699999999,1220,43.166666666666664,12.25,12.166666666666666,,,,
351240,2022,24514,Cordeirópolis - SP,114,27,1045592.77,1340,49.5,,,,,,
351250,2022,5400,Coroados - SP,56,10,486521.04,565,2.0,,,,,,
351260,2022,4280,Coronel Macedo - SP,18,3,162983.84,240,5.0,2.5714285714285716,2.5714285714285716,,,,
351270,2022,4195,Corumbataí - SP,16,6,126123.61,178,5.0,2.0,2.0,,,,
351280,2022,59773,Cosmópolis - SP,242,45,2138791.4,3185,85.16666666666667,81.0,43.0,,,,
351290,2022,8719,Cosmorama - SP,61,9,465755.62,689,5.0,,,,,,
351300,2022,274413,Cotia - SP,1106,131,9706540.65,16178,203.5,534.5833333333334,165.66666666666666,,,,
351310,2022,33281,Cravinhos - SP,169,30,1486932.3699999999,1742,102.0,15.0,13.0,,,,
351320,2022,9272,Cristais Paulista - SP,43,13,479335.97000000003,484,14.0,,,,,,
351330,2022,2108,Cruzália - SP,20,5,114026.22,143,3.0,,,,,,
351340,2022,74961,Cruzeiro - SP,650,164,4862155.44,8845,303.3333333333333,136.83333333333334,103.66666666666667,,,,
351350,2022,112476,Cubatão - SP,799,179,5277714.48,10940,172.5,143.83333333333334,114.83333333333333,,,,
351360,2022,22110,Cunha - SP,131,24,930456.74,1595,25.75,40.0,25.0,,,,
351370,2022,31756,Descalvado - SP,153,34,1061188.62,1339,127.33333333333333,40.0,32.0,,,,
351380,2022,393237,Diadema - SP,2037,315,18442861.97,35094,198.58333333333334,754.1666666666666,690.4166666666666,,,,
351385,2022,1620,Dirce Reis - SP,16,2,110296.25,168,3.0,,,,,,
351390,2022,11158,Divinolândia - SP,93,22,698008.1,825,30.166666666666668,186.0,186.0,,,,
351400,2022,8759,Dobrada - SP,61,16,486361.86,812,10.0,,,,,,
351410,2022,24510,Dois Córregos - SP,107,17,926195.85,1448,49.5,67.0,47.0,,,,
351420,2022,2207,Dolcinópolis - SP,36,3,369017.39,474,3.0,,,,,,
351430,2022,8096,Dourado - SP,69,20,452346.49,633,17.666666666666668,20.0,20.0,,,,
351440,2022,45474,Dracena - SP,461,107,2910755.16,4497,239.75,173.75,135.0,,,,
351450,2022,12328,Duartina - SP,93,12,603685.05,966,48.916666666666664,87.0,77.0,,,,
351460,2022,9471,Dumont - SP,51,13,436299.48,588,5.0,,,,,,
351470,2022,6205,Echaporã - SP,49,8,384864.68,497,6.0,,,,,,
351480,2022,13069,Eldorado - SP,70,12,540090.12,1064,15.833333333333334,2.0,2.0,,,,
351490,2022,17699,Elias Fausto - SP,99,15,656396.0599999999,978,13.5,6.0,6.0,,,,
351492,2022,3138,Elisiário - SP,17,5,72156.49,115,4.0,,,,,,
351495,2022,2323,Embaúba - SP,28,5,225502.17,217,3.0,,,,,,
